,PRODUCT_LIBRARY_KEY,CLIENT_ID,PRODUCT_DESCRIPTION_x,SIZE_RAW_x,SIZE_VALUE,PACK_RAW_x,AGE,ProductKey,PRODUCT_DESCRIPTION_y,SIZE_RAW_y,PACK_RAW_y
71,3666,,Da Luca Sparkling Rose 12/CS,750 ML,0.75,12.0,9999.0,3666,Da Luca Sparkling Rose 12/CS VIN 9999,750 ML,12.0
72,3667,,MUD HOUSE SAUV BI 750/12,750 ML,0.75,12.0,2018.0,3667,MUD HOUSE SAUV BI 750/12 VIN 2018,750 ML,12.0
73,3668,,NEW AGE WHITE,750 ML,0.75,12.0,9999.0,3668,NEW AGE WHITE VIN 9999,750 ML,12.0
74,3669,,NEW AGE RED,750 ML,0.75,12.0,9999.0,3669,NEW AGE RED VIN 9999,750 ML,12.0
75,3670,,PARINGA SPARKLING SHIRAZ,750 ML,0.75,12.0,9999.0,3670,PARINGA SPARKLING SHIRAZ VIN 9999,750 ML,12.0
76,3671,,CHAMPAGNE PALMER ROSE,750 ML,0.75,6.0,9999.0,3671,CHAMPAGNE PALMER ROSE VIN 9999,750 ML,6.0
77,3672,,ELSA BIANCHI CABERNET SAUVIGNON,750 ML,0.75,12.0,2018.0,3672,ELSA BIANCHI CABERNET SAUVIGNON VIN 2018,750 ML,12.0
78,3673,,,,,,,3673,No Description Available,,
79,3674,,,,,,,3674,No Description Available,,
80,3675,,,,,,,3675,No Description Available,,
81,3676,,,,,,,3676,No Description Available,,
82,3677,,,,,,,3677,No Description Available,,
83,3678,,,,,,,3678,No Description Available,,
84,3679,,,,,,,3679,No Description Available,,
85,3680,,,,,,,3680,No Description Available,,
86,3681,,,,,,,3681,No Description Available,,
87,3682,,,,,,,3682,No Description Available,,
88,3683,,,,,,,3683,No Description Available,,
89,3684,,,,,,,3684,No Description Available,,
90,3685,,,,,,,3685,No Description Available,,
91,3686,,TROPICAL MOSCATO PASSION FRUIT,750,0.75,12.0,,3686,TROPICAL MOSCATO PASSION FRUIT,750,12.0
92,3687,,DUBOEUF CUV RGE,1.5,1.5,6.0,,3687,DUBOEUF CUV RGE,1.5,6.0
93,3688,,DUBOEUF POUILLY FUISSE 17,750,0.75,12.0,,3688,DUBOEUF POUILLY FUISSE 17,750,12.0
94,3689,,DUBOEUF BEAUJ VILLAGE,750,0.75,12.0,,3689,DUBOEUF BEAUJ VILLAGE,750,12.0
95,3690,,GEYSER PEAK CAB SAUV *17,750,0.75,12.0,,3690,GEYSER PEAK CAB SAUV *17,750,12.0
96,3692,,GEYSER PEAK CHARDONNAY,750,0.75,12.0,,3692,GEYSER PEAK CHARDONNAY,750,12.0
97,3693,,HARDYS STAMP CHARD BOX 14 6/CS,3L,3.0,6.0,,3693,HARDYS STAMP CHARD BOX 14 6/CS,3L,6.0
98,3694,,HARDYS STAMP CAB BOX 12/16 6/C,3L,3.0,6.0,,3694,HARDYS STAMP CAB BOX 12/16 6/C,3L,6.0
99,3695,,DA LUCA PROSECCO,750,0.75,12.0,,3695,DA LUCA PROSECCO,750,12.0
100,3696,,DA LUCA PROSECCO 24/CS,187,0.187,24.0,,3696,DA LUCA PROSECCO 24/CS,187,24.0
101,3697,,DA LUCA SPARKLING ROSE,750,0.75,12.0,,3697,DA LUCA SPARKLING ROSE,750,12.0
102,3700,,Stones Ginger Wine 750/12,750 M,0.75,12.0,,3700,Stones Ginger Wine 750/12,750 M,12.0
103,3701,,CLUB/COSTCO G DUB BEAUJLAS NOUV,750 M,0.75,12.0,,3701,CLUB/COSTCO G DUB BEAUJLAS NOUV,750 M,12.0
104,3702,,KIRKLAND RIOJA,750 M,0.75,12.0,,3702,KIRKLAND RIOJA,750 M,12.0
105,3703,,G DUB BEAUJ 6/4PK,187 M,,24.0,,3703,G DUB BEAUJ 6/4PK,187 M,24.0
106,3704,,G DUB BEAUJ NOUVEAU,750 M,0.75,12.0,,3704,G DUB BEAUJ NOUVEAU,750 M,12.0
107,3705,,G DUB BEAUJ NOUVEAU,750 M,0.75,12.0,,3705,G DUB BEAUJ NOUVEAU,750 M,12.0
108,3706,,G DUB BEAUJLAS NOUV,750 M,0.75,12.0,,3706,G DUB BEAUJLAS NOUV,750 M,12.0
109,3707,,G DUB BEAUJLAS NOUV,750 M,0.75,12.0,,3707,G DUB BEAUJLAS NOUV,750 M,12.0
110,3708,,G DUB BEAUJLAS NOUV ROSE,750 M,0.75,12.0,,3708,G DUB BEAUJLAS NOUV ROSE,750 M,12.0
111,3709,,G DUB BEAUJLAS NOUV WHOLE FOODS,750 M,0.75,12.0,,3709,G DUB BEAUJLAS NOUV WHOLE FOODS,750 M,12.0
112,3710,,G DUB BEAUJLAS FLOWER,750 M,0.75,12.0,,3710,G DUB BEAUJLAS FLOWER,750 M,12.0
113,3711,,G DUB BEAUJLAS FLOWER,750 M,0.75,12.0,,3711,G DUB BEAUJLAS FLOWER,750 M,12.0
114,3712,,G DUB CAB SAUV,750 M,0.75,12.0,,3712,G DUB CAB SAUV,750 M,12.0
115,3713,,G DUB COTE DU RHONE ROUGE,750 M,0.75,12.0,,3713,G DUB COTE DU RHONE ROUGE,750 M,12.0
116,3714,,G DUB WH BLEND,1.5 L,1.5,6.0,,3714,G DUB WH BLEND,1.5 L,6.0
117,3715,,G DUB MACON VILLAGE,750 M,0.75,12.0,,3715,G DUB MACON VILLAGE,750 M,12.0
