ProductKey,PRODUCT_ID,PRODUCT_DESCRIPTION,SIZE_RAW,SIZE_VALUE,PACK_RAW,PACK,STRENGTH,PROVIDER_SOURCE_ID,PROVIDER_ID,CLIENT_ID,SOURCE_SYSTEM_ID,UNIVERSAL_PROD_CODE,ACTIVE_FLAG,CREATE_DATE,AUTOMAP_ID,MANUFACTURER_NAME,CATEGORY_LEVEL_LL_DESCR,BRAND_LEVEL_LL_DESCR
3625,1979940,TRACKERS CROSSING CABERNET,CS12-750ML,NULL,012,12.00,00000,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,1979940,QW8,NULL,NULL
3626,301640,DA LUCA SPARKLING ROSE,CS12-750ML,NULL,012,12.00,00000,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,301640,QW8,NULL,NULL
3627,316517,DUB DOM LAFAYETTE BROUILLY,CS12-750ML,NULL,012,12.00,00000,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,316517,QW8,NULL,NULL
3628,321840,DUB CABERNET FLOWER,CS12-750ML,NULL,012,12.00,00000,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,321840,QW8,NULL,NULL
3629,324440,DUB PINOT NOIR FLOWER,CS12-750ML,NULL,012,12.00,00000,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,324440,QW8,NULL,NULL
3630,324540,DUB CHARDONNAY FLOWER,CS12-750ML,NULL,012,12.00,00000,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,324540,QW8,NULL,NULL
3631,326240,DUB BEAUJ VIL,CS12-750ML,NULL,012,12.00,00000,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,326240,QW8,NULL,NULL
3632,42305341,ECHO FALLS MANGO PEACH,CS12-750ML,NULL,012,12.00,00000,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,42305341,QW8,NULL,NULL
3633,811718,PASCUAL TOSO EST MALBEC,CS12-750ML,NULL,012,12.00,00000,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,811718,QW8,NULL,NULL
3634,929540,HARDY WHISKERS BLAKE PORT,CS12-750ML,NULL,012,12.00,00000,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,929540,QW8,NULL,NULL
3635,989840,ECHO FALLS MANGO PEACH,CS6-750ML,NULL,006,6.00,00000,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,989840,QW8,NULL,NULL
3636,989940,ECHO FALLS RASPBERRY BLACKCURR,CS6-750ML,NULL,006,6.00,00000,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,989940,QW8,NULL,NULL
3637,989941,ECHO FALLS RASPBERRY BLACKCURR,CS12-750ML,NULL,012,12.00,00000,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,989941,QW8,NULL,NULL
3638,990041,ECHO FALLS STRAW RASP BLACKBER,CS12-750ML,NULL,012,12.00,00000,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,990041,QW8,NULL,NULL
3639,XXXXXX,No Description Available,NULL,NULL,NULL,NULL,NULL,37422,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,XXXXXX,QW8,NULL,NULL
3640,762018,IRONSTONE CABERNET FRANC,CS12-750ML,NULL,012,12.00,00000,38101,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,762018,QW8,NULL,NULL
3641,762218,IRONSTONE SYMPHONY OBSESSIO,CS12-750ML,NULL,012,12.00,00000,38101,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,762218,QW8,NULL,NULL
3642,811718,PASCUAL TOSO EST MALBEC,CS12-750ML,NULL,012,12.00,00000,38101,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,811718,QW8,NULL,NULL
3643,812040,PASCUAL TOSO SPARKLING BRUT,CS12-750ML,NULL,012,12.00,00000,38101,219,NULL,NULL,NULL,1,2021-08-11 16:08:43.150,812040,QW8,NULL,NULL
