DISTRIBUTOR_FTS_ID,DISTRIBUTOR_FDC_ID,DISTRIBUTOR_NAME,DISTRIBUTOR_ADDRESS,DISTRIBUTOR_STATE,DISTRIBUTOR_CITY,DISTRIBUTOR_ZIP
,6217986,EASTERN SHORE DISTRIBUTING,811 SNOW HILL RD,MD,SALISBURY,21804
,6217987,STAR DISTRIBUTORS,10 EDER ROAD,CT,WEST HAVEN,06516
,6217988,A. GALLO CO. OF LITCHFIELD,ROUTE 4 WEST,CT,GOSHEN,06756
,6217989,WESTERN MARYLAND DISTRIBUTING CO.  INC.,PO BOX 33,MD,CUMBERLAND,21501
,6217990,MAJOR BRANDS OF ST LOUIS,550 EAST 13TH AVENUE,MO,ST. LOUIS,63143
,6217992,MAJOR BRANDS - KANSAS CITY,550 E 13TH AVE,MO,KANSAS CITY,64116
,6217994,KELLY DISTRIBUTORS  LLC,7916 INDUSTRIAL PARK RD,MD,EASTON,21601
,6217995,LIPMAN CO.,411 GREAT CIRCLE RD,TN,NASHVILLE,37228
,6217996,WIRTZ BEVERAGE WI - HARTLAND (BREAKTHRU),500 WEST NORTH SHORE DRIVE,WI,HARTLAND,53029
,6217997,ELITE BRANDS - CO,4900 LIMA ST,CO,DENVER,80239
,6217998,HIGH COUNTRY BEVERAGE CORP - LOVELAND,5706 WRIGHT DR,CO,LOVELAND,80538
,6217999,CARLSBERG SUPPLY COMPANY AG-DK,100 NY CARLSBERG VEJ,SW,COPENHAGEN,
,6218000,HENSLEY BEER - CHANDLER,2555 N NEVADA ST,AZ,CHANDLER,85225
,6218002,CARLSBERG USA CH,100 NY CARLSBERG VEJ,SW,COPENHAGEN,
,6218003,BREAKTHRU BEVERAGE - CO,14200 E MONCRIEFF PL,CO,AURORA,80011
,6218004,JOHNSON BROTHERS - DES MOINES,6600 MERLE HAY RD,IA,JOHNSTON,50131
,6218005,JOHNSON BROTHERS - ND - FARGO,1358 39TH ST N,ND,FARGO,58102
,6218006,JOHNSON BROTHERS FAMOUS BRANDS,300 E 50TH ST,SD,SIOUX FALLS,57104
,6218007,ANDREWS DISTRIBUTING - DALLAS (IRVING),2730 IRVING BLVD,TX,DALLAS,75207
,6218008,FLOOD DISTRIBUTION,320 SOUTH BELT LINE ROAD,TX,IRVING,75060
,6218009,DORETTI DISTRIBUTING,426 SCOTLAND RD,IL,MCHENRY,60051
,6217893,GOLDRING GULF DISTRIBUTING - MILTON,8245 OPPORTUNITY DRIVE,FL,MILTON,32583
,6218010,HOHENSTEINS INC.,2330 VENTURA DR,MN,WOODBURY,55125
,6218011,ADVANCE BEVERAGE,5200 DISTRICT BLVD,CA,BAKERSFIELD,93313
,6218013,DBI DISTRIBUTING INC. - CHICO,71 LOREN AVE,CA,CHICO,95928
,6218015,DBI BEVERAGE - SAN JOAQUIN,1401 S FRESNO AVE,CA,STOCKTON,95206
,6218016,DBI DISTRIBUTING INC. - TRUCKEE,12135 BUS PARK DR,CA,TRUCKEE,96161
,6218017,DBI BEVERAGE - UKIAH,455A KUNSLER RANCH ROAD,CA,UKIAH,95482
,6218018,DICKERSON DISTRIBUTORS,1313 MEADOR AVE,WA,BELLINGHAM,98229
